Year,Aobs,Pobs
2000,6.9,0.193
2001,25.3,1.558
2002,,0.07
2003,0.2,0.158
2004,3.3,0.982
2005,19.4,1.321
2006,2.5,0.58
2007,1.2,0.86
2008,4.8,0.9823
2009,6.7,0.961
2010,0.8,0.751
