Year,Xinglong,Yingzi
2000,74.87,7.13
2001,92.08,27.1
2002,47.97,7.13
2003,53.7,15.69
2004,69.72,48.49
2005,72.39,25.67
2006,72.96,21.39
2007,74.76,25.67
2008,76.48,24.1
2009,75.62,31.38
2010,72.47,31.38
