Name,lon,lat,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Liying,117.48331,40.41208,321.5,522.7,203.1,462.2,427.3,420.8,384.1,334.5,383.5,376.4,397.8
Xinglong,117.73789,40.60508,434.9,571.9,251.7,494.8,433.4,441,290,418.4,426.9,446.2,367.1
