RegR1,RegR2,RegSDR1,RegSDR2,RegER1,RegER2,ConvPsoi,DPDR,PDR,PercWSP,PlossDPman,PlossDPfer
0.535882872,1.440934728,0.240430939,0.123782805,2.276315514,0.218978832,0.014195409,0.870816164,0.650044883,0.435494149,0.207942663,0.46424177
0.471130634,1.269236791,0.099459103,0.170640952,1.968449242,0.173319559,0.014573205,0.521612447,0.90817341,0.504959242,0.056375662,0.633181487
0.274915889,1.43569652,0.137159606,0.172004774,1.668403766,0.162505549,0.012849898,0.619339851,0.829580774,0.33143062,0.077976863,0.602828316
