Year,TF
1980,129.5
1981,46.8
1982,232.1
1983,141.6
1984,82.1
1985,232.1
1986,248.2
1987,303.6
1988,157
1989,85.1
1990,208.2
1991,257.5
1992,164.6
1993,156.8
1994,438.4
1995,339.08
1996,374.02
1997,145.11
1998,304.44
1999,52.55
2000,58.1
2001,171.7
2002,42.26
2003,65.97
2004,115.91
2005,161.65
2006,59.3
2007,70.17
2008,106.47
2009,64.89
2010,62.76
2011,197.29
