Year,Liying,Xinglong
2000,321.5,434.9
2001,522.7,571.9
2002,203.1,251.7
2003,462.2,494.8
2004,427.3,433.4
2005,420.8,441
2006,384.1,290
2007,334.5,418.4
2008,383.5,426.9
2009,376.4,446.2
2010,397.8,367.1
