Year,County,Pfer
2000,兴隆县,785
2001,兴隆县,2014
2002,兴隆县,503
2003,兴隆县,563
2004,兴隆县,731
2005,兴隆县,759
2006,兴隆县,765
2007,兴隆县,679
2008,兴隆县,697
2009,兴隆县,688
2010,兴隆县,655
2000,营子区,5
2001,营子区,19
2002,营子区,5
2003,营子区,11
2004,营子区,34
2005,营子区,18
2006,营子区,15
2007,营子区,18
2008,营子区,16.9
2009,营子区,22
2010,营子区,22
